experiment_group,profile,mechanism,revenue,social_welfare,efficiency,payoff_mean,payoff_std,utility_gini,truthful_gap,late_bid_rate,collusion_discount,bidder_type,mean_payoff,win_rate,mean_bid,vcg_revenue_loss_vs_gsp,vcg_revenue_loss_pct_vs_gsp
collusion,10pct,GSP,6.6788,8.7652,0.9214,0.4173,0.3107,0.4071,0.2427,0.0072,0.7344,,,,,,
collusion,10pct,VCG,3.2202,8.6909,0.9203,1.0941,0.2673,0.1309,0.2432,0.0092,0.7431,,,,,3.4586,51.78
collusion,20pct,GSP,6.5371,8.7506,0.92,0.4427,0.3051,0.3816,0.3654,0.0072,1.067,,,,,,
collusion,20pct,VCG,3.163,8.6972,0.9209,1.1068,0.274,0.133,0.3612,0.0092,1.0512,,,,,3.3741,51.61
collusion,30pct,GSP,6.3506,8.7014,0.9147,0.4702,0.3025,0.3584,0.4925,0.0072,1.1967,,,,,,
collusion,30pct,VCG,3.0794,8.6698,0.9182,1.1181,0.2944,0.1419,0.4883,0.0092,1.1862,,,,,3.2712,51.51
collusion,40pct,GSP,6.1242,8.595,0.9035,0.4942,0.3035,0.3408,0.6284,0.0072,1.2837,,,,,,
collusion,40pct,VCG,2.9708,8.6252,0.9134,1.1309,0.3169,0.1516,0.6182,0.0092,1.2551,,,,,3.1534,51.49
collusion,50pct,GSP,5.8925,8.4824,0.8919,0.518,0.3091,0.3319,0.7532,0.0072,1.3122,,,,,,
collusion,50pct,VCG,2.8226,8.5278,0.903,1.141,0.3515,0.1668,0.7513,0.0092,1.3051,,,,,3.0699,52.1
collusion,60pct,GSP,5.5791,8.3383,0.8767,0.5518,0.3179,0.3188,0.8838,0.0072,1.3433,,,,,,
collusion,60pct,VCG,2.6307,8.3664,0.8859,1.1471,0.4051,0.1916,0.8824,0.0092,1.3409,,,,,2.9484,52.85
collusion,70pct,GSP,5.0444,8.009,0.842,0.5929,0.3469,0.3193,1.0171,0.0072,1.3663,,,,,,
collusion,70pct,VCG,2.3604,8.0532,0.8528,1.1386,0.4866,0.2314,1.0153,0.0092,1.3686,,,,,2.684,53.21
collusion,80pct,GSP,4.2618,7.4438,0.7826,0.6364,0.4212,0.3567,1.1465,0.0072,1.3795,,,,,,
collusion,80pct,VCG,1.8684,7.4389,0.7882,1.1141,0.6361,0.3104,1.1484,0.0092,1.3849,,,,,2.3934,56.16
collusion,90pct,GSP,2.4823,8.1046,0.8521,1.1244,0.4527,0.2225,1.2793,0.0072,1.3944,,,,,,
collusion,90pct,VCG,0.793,8.1138,0.8595,1.4642,0.6314,0.2361,1.2804,0.0092,1.3983,,,,,1.6893,68.05
latency,baseline,GSP,6.8093,8.7601,0.9209,0.3902,0.312,0.4284,0.1824,0.0072,0.0,,,,,,
latency,baseline,VCG,3.2764,8.6977,0.9209,1.0843,0.2634,0.13,0.1824,0.0092,0.0,,,,,,
latency,latency,GSP,6.5741,8.6393,0.9082,0.413,0.3093,0.4075,0.1824,0.1058,0.0,,,,,,
latency,latency,VCG,3.1755,8.5896,0.9094,1.0828,0.2777,0.1375,0.1824,0.104,0.0,,,,,,
